Årstall,Antall transistorer
1971,2664
1972,3500
1973,6750
1974,5275
1975,4509
1976,7000
1977,7000
1978,19000
1979,38166
1980,50000
1981,28250
1982,94500
1983,22000
1984,126500
1985,105333
1986,150750
1987,485250
1988,215000
1989,772558
1990,4050000
1991,692500
1992,1060000
1993,9645666
1994,1497195
1995,4740000
1996,6980000
1997,6578750
1998,9466666
1999,15635166
2000,28000000
2001,118000000
2002,137500000
2003,159840000
2004,312000000
2005,203000000
2006,634250000
2007,378285714
2008,711000000
2009,832000000
2010,1511666666
2011,1975000000
2012,2252777777
2013,3015000000
2014,3145000000
2015,3967500000
2016,4783333333
2017,7105882352
2018,7940857142
2019,14032000000
2020,11380000000
2021,27950000000
2022,42400000000
2023,53500000000
